name,country
Norsup Airport,Vanuatu
Santo Pekoa International Airport,Vanuatu
Craig Cove Airport,Vanuatu
Bauerfield International Airport,Vanuatu
Aneityum Airport,Vanuatu
Futuna Airport,Vanuatu
Lonorore Airport,Vanuatu
Tanna Airport,Vanuatu
Aniwa Airport,Vanuatu
Dillon's Bay Airport,Vanuatu
Ipota Airport,Vanuatu
Mota Lava Airport,Vanuatu
Sola Airport,Vanuatu
Ulei Airport,Vanuatu
Nadym Airport,Russia
Sovetskiy Airport,Russia
Koltsovo Airport,Russia
Domodedovo International Airport,Russia
Khartoum International Airport,Sudan
Port Sudan New International Airport,Sudan
Beloyarskiy Airport,Russia
Ukhta Airport,Russia
Vnukovo International Airport,Russia
Zvartnots International Airport,Armenia
Mineralnyye Vody Airport,Russia
Saratov Central Airport,Russia
Izhevsk Airport,Russia
Kurgan Airport,Russia
Pulkovo Airport,Russia
Geneina Airport,Sudan
El Fasher Airport,Sudan
Mirny Airport,Russia
Tolmachevo Airport,Russia
Novy Urengoy Airport,Russia
Roshchino International Airport,Russia
Ufa International Airport,Russia
Polyarny Airport,Russia
Ahwaz Airport,Iran
Esfahan Shahid Beheshti International Airport,Iran
Yakutsk Airport,Russia
Yemelyanovo Airport,Russia
Mahshahr Airport,Iran
Tabriz International Airport,Iran
Mehrabad International Airport,Iran
Hurghada International Airport,Egypt
Simon Bolivar International Airport,Colombia
Jose Marti International Airport,Cuba
Pyongyang Sunan International Airport,North Korea
Kuala Lumpur International Airport,Malaysia
Taoxian Airport,China
Vladivostok International Airport,Russia
Bukhara Airport,Uzbekistan
Fuerteventura Airport,Spain
Gran Canaria Airport,Spain
Nouadhibou International Airport,Mauritania
Khabarovsk-Novy Airport,Russia
Tivat Airport,Montenegro
Sheremetyevo International Airport,Russia
Bolshoye Savino Airport,Russia
Kharkiv International Airport,Ukraine
Astrakhan Airport,Russia
Belgorod International Airport,Russia
Jesus Teran Paredo International Airport,Mexico
Ingeniero Alberto Acuna Ongay International Airport,Mexico
Manuel Marquez de Leon International Airport,Mexico
Licenciado Benito Juarez International Airport,Mexico
Coatzacoalcos National Airport,Mexico
General Rafael Buelna International Airport,Mexico
Palenque International Airport,Mexico
General Lucio Blanco International Airport,Mexico
Francisco Sarabia International Airport,Mexico
General Leobardo C. Ruiz International Airport,Mexico
Playa De Oro International Airport,Mexico
Sokol Airport,Russia
Taiping Airport,China
Dnipropetrovsk International Airport,Ukraine
Dresden Airport,Germany
Krakow John Paul II International Airport,Poland
Magnitogorsk International Airport,Russia
Queen Beatrix International Airport,Aruba
Flamingo International Airport,Netherlands Antilles
Hato International Airport,Netherlands Antilles
Josefa Camejo International Airport,Venezuela
La Chinita International Airport,Venezuela
Aberdeen Dyce Airport,United Kingdom
Kirkwall Airport,United Kingdom
Sumburgh Airport,United Kingdom
Rarotonga International Airport,Cook Islands
Luis Munoz Marin International Airport,Puerto Rico
Cyril E. King Airport,Virgin Islands
Henry E Rohlsen Airport,Virgin Islands
Glasgow International Airport,United Kingdom
Tiree Airport,United Kingdom
Ted Stevens Anchorage International Airport,United States
Unalakleet Airport,United States
Inverness Airport,United Kingdom
Stornoway Airport,United Kingdom
Campbell River Airport,Canada
Comox Airport,Canada
Vancouver International Airport,Canada
Port Hardy Airport,Canada
Trail Airport,Canada
Stockholm-Arlanda Airport,Sweden
Halmstad Airport,Sweden
Visby Airport,Sweden
Hattiesburg Laurel Regional Airport,United States
Tupelo Regional Airport,United States
Hemavan Airport,Sweden
Kokkola-Pietarsaari Airport,Finland
Karlstad Airport,Sweden
Mariehamn Airport,Finland
Oslo Lufthavn,Norway
Pori Airport,Finland
Turku Airport,Finland
Sandefjord Airport,Norway
Vilhelmina Airport,Sweden
Vaxjo Kronoberg Airport,Sweden
Hartsfield Jackson Atlanta International Airport,United States
South Bimini Airport,Bahamas
North Eleuthera Airport,Bahamas
Key West International Airport,United States
Fort Lauderdale Hollywood International Airport,United States
Grand Bahama International Airport,Bahamas
Exuma International Airport,Bahamas
Governor's Harbour Airport,Bahamas
Mid Delta Regional Airport,United States
