departure_airport,arrival_airport
Norsup Airport,Bauerfield International Airport
Santo Pekoa International Airport,Lonorore Airport
Craig Cove Airport,Norsup Airport
Bauerfield International Airport,Norsup Airport
Aneityum Airport,Tanna Airport
Futuna Airport,Tanna Airport
Lonorore Airport,Santo Pekoa International Airport
Tanna Airport,Aneityum Airport
Tanna Airport,Aniwa Airport
Aniwa Airport,Futuna Airport
Dillon's Bay Airport,Ipota Airport
Dillon's Bay Airport,Bauerfield International Airport
Futuna Airport,Aniwa Airport
Ipota Airport,Dillon's Bay Airport
Ipota Airport,Tanna Airport
Ipota Airport,Bauerfield International Airport
Mota Lava Airport,Gaua Island Airport
Sola Airport,Mota Lava Airport
Tanna Airport,Ipota Airport
Ulei Airport,Bauerfield International Airport
Bauerfield International Airport,Craig Cove Airport
Bauerfield International Airport,Dillon's Bay Airport
Bauerfield International Airport,Ipota Airport
Nadym Airport,Sovetskiy Airport
Sovetskiy Airport,Nadym Airport
Sovetskiy Airport,Koltsovo Airport
Koltsovo Airport,Sovetskiy Airport
Domodedovo International Airport,Saratov Central Airport
Khartoum International Airport,Port Sudan New International Airport
Port Sudan New International Airport,Khartoum International Airport
Beloyarskiy Airport,Vnukovo International Airport
Sovetskiy Airport,Vnukovo International Airport
Ukhta Airport,Vnukovo International Airport
Vnukovo International Airport,Beloyarskiy Airport
Vnukovo International Airport,Sovetskiy Airport
Vnukovo International Airport,Ukhta Airport
Zvartnots International Airport,Saratov Central Airport
Mineralnyye Vody Airport,Saratov Central Airport
Saratov Central Airport,Zvartnots International Airport
Saratov Central Airport,Mineralnyye Vody Airport
Saratov Central Airport,Koltsovo Airport
Koltsovo Airport,Saratov Central Airport
Domodedovo International Airport,Izhevsk Airport
Domodedovo International Airport,Kurgan Airport
Izhevsk Airport,Domodedovo International Airport
Izhevsk Airport,Pulkovo Airport
Kurgan Airport,Domodedovo International Airport
Pulkovo Airport,Izhevsk Airport
Geneina Airport,Khartoum International Airport
El Fasher Airport,Khartoum International Airport
Khartoum International Airport,Geneina Airport
Khartoum International Airport,El Fasher Airport
Mirny Airport,Tolmachevo Airport
Tolmachevo Airport,Mirny Airport
Novy Urengoy Airport,Roshchino International Airport
Novy Urengoy Airport,Ufa International Airport
Roshchino International Airport,Novy Urengoy Airport
Ufa International Airport,Novy Urengoy Airport
Domodedovo International Airport,Polyarny Airport
Tolmachevo Airport,Polyarny Airport
Polyarny Airport,Domodedovo International Airport
Polyarny Airport,Tolmachevo Airport
Ahwaz Airport,Mehrabad International Airport
Esfahan Shahid Beheshti International Airport,Mahshahr Airport
Mirny Airport,Yakutsk Airport
Yakutsk Airport,Mirny Airport
Yemelyanovo Airport,Mirny Airport
Mirny Airport,Yemelyanovo Airport
Mahshahr Airport,Esfahan Shahid Beheshti International Airport
Tabriz International Airport,Mehrabad International Airport
Mehrabad International Airport,Ahwaz Airport
Mehrabad International Airport,Tabriz International Airport
Domodedovo International Airport,Yakutsk Airport
Domodedovo International Airport,Hurghada International Airport
Hurghada International Airport,Domodedovo International Airport
Simon Bolivar International Airport,Jose Marti International Airport
Jose Marti International Airport,Simon Bolivar International Airport
Pyongyang Sunan International Airport,Kuala Lumpur International Airport
Pyongyang Sunan International Airport,Taoxian Airport
Pyongyang Sunan International Airport,Vladivostok International Airport
Kuala Lumpur International Airport,Pyongyang Sunan International Airport
Taoxian Airport,Pyongyang Sunan International Airport
Vladivostok International Airport,Pyongyang Sunan International Airport
Bukhara Airport,Domodedovo International Airport
Domodedovo International Airport,Bukhara Airport
Fuerteventura Airport,Gran Canaria Airport
Gran Canaria Airport,Fuerteventura Airport
Gran Canaria Airport,Nouadhibou International Airport
Nouadhibou International Airport,Gran Canaria Airport
Khabarovsk-Novy Airport,Yakutsk Airport
Yakutsk Airport,Khabarovsk-Novy Airport
Domodedovo International Airport,Tivat Airport
Tivat Airport,Domodedovo International Airport
Sheremetyevo International Airport,Henri Coanda International Airport
Sheremetyevo International Airport,Donetsk International Airport
Bolshoye Savino Airport,Sheremetyevo International Airport
Sheremetyevo International Airport,Nizhny Novgorod Strigino International Airport
Sheremetyevo International Airport,Bolshoye Savino Airport
Kharkiv International Airport,Sheremetyevo International Airport
Sheremetyevo International Airport,Kharkiv International Airport
Astrakhan Airport,Domodedovo International Airport
Astrakhan Airport,Pulkovo Airport
Domodedovo International Airport,Astrakhan Airport
Domodedovo International Airport,Belgorod International Airport
Belgorod International Airport,Domodedovo International Airport
Pulkovo Airport,Astrakhan Airport
